nombreArchivo	autora	titulo
Agrio_está_el_mundo.txt	Alfonsina Storni	Agrio está el mundo
Alma_desnuda.txt	Alfonsina Storni	Alma desnuda
Así.txt	Alfonsina Storni	Así
Aspecto.txt	Alfonsina Storni	Aspecto
Buenos_Aires_Storni.txt	Alfonsina Storni	Buenos Aires (Storni)
Calle.txt	Alfonsina Storni	Calle
Carta_lírica_a_otra_mujer.txt	Alfonsina Storni	Carta lírica a otra mujer
Contra_voz.txt	Alfonsina Storni	Contra voz
Date_a_volar.txt	Alfonsina Storni	Date a volar
Dolor_Storni.txt	Alfonsina Storni	Dolor (Storni)
Dos_palabras.txt	Alfonsina Storni	Dos palabras
Dulce_tortura.txt	Alfonsina Storni	Dulce tortura
El_canal.txt	Alfonsina Storni	El canal
El_cisne_enfermo.txt	Alfonsina Storni	El cisne enfermo
El_divino_amor.txt	Alfonsina Storni	El divino amor
El_hijo_de_un_avaro.txt	Alfonsina Storni	El hijo de un avaro
El_parque.txt	Alfonsina Storni	El parque
El_racimo_inocente.txt	Alfonsina Storni	El racimo inocente
El_silencio.txt	ErrorAutora	El silencio
El_sueño_Storni.txt	Alfonsina Storni	El sueño (Storni)
Esta_tarde.txt	Alfonsina Storni	Esta tarde
Este_libro.txt	Alfonsina Storni	Este libro
Frase.txt	Alfonsina Storni	Frase
Frente_al_mar.txt	Alfonsina Storni	Frente al mar
La_inquietud_del_rosal.txt	Alfonsina Storni	La inquietud del rosal
La_mirada_Storni.txt	Alfonsina Storni	La mirada (Storni)
La_que_comprende.txt	Alfonsina Storni	La que comprende
Llama.txt	Alfonsina Storni	Llama
Mañana_gris.txt	Alfonsina Storni	Mañana gris
Melancolía_Storni.txt	Alfonsina Storni	Melancolía (Storni)
Mi_hermana.txt	Alfonsina Storni	Mi hermana
Mundo_de_siete_pozos_poema.txt	Alfonsina Storni	Mundo de siete pozos (poema)
Naturaleza_mía.txt	Alfonsina Storni	Naturaleza mía
Odio.txt	Alfonsina Storni	Odio
Plaza_en_invierno.txt	Alfonsina Storni	Plaza en invierno
Parásitos.txt	Alfonsina Storni	Parásitos
Paz.txt	Alfonsina Storni	Paz
Peso_ancestral.txt	Alfonsina Storni	Peso ancestral
Piedra_miserable.txt	Alfonsina Storni	Piedra miserable
Presentimiento_Storni.txt	Alfonsina Storni	Presentimiento (Storni)
Queja.txt	Alfonsina Storni	Queja
Regreso_en_sueños.txt	Alfonsina Storni	Regreso en sueños
Sábado.txt	Alfonsina Storni	Sábado
Sabéis_algo.txt	Alfonsina Storni	Sabéis algo
Siesta_Storni.txt	Alfonsina Storni	Siesta (Storni)
Siete_vidas.txt	Alfonsina Storni	Siete vidas
Soy_esa_flor.txt	Alfonsina Storni	Soy esa flor
Tu_me_quieres_blanca.txt	Alfonsina Storni	Tu me quieres blanca
Un_cementerio_que_mira_al_mar.txt	Alfonsina Storni	Un cementerio que mira al mar
Un_día.txt	Alfonsina Storni	Un día
Un_sol.txt	Alfonsina Storni	Un sol
Voluntad.txt	Alfonsina Storni	Voluntad
Voz.txt	Alfonsina Storni	Voz
Y_tú.txt	Alfonsina Storni	Y tú
A_Eros.txt	Alfonsina Storni	A Eros
A_Madona.txt	Alfonsina Storni	A Madona
Amor_Storni.txt	Alfonsina Storni	Amor (Storni)
Canción_de_la_mujer_astuta.txt	Alfonsina Storni	Canción de la mujer astuta
Cara_copiada.txt	Alfonsina Storni	Cara copiada
Duerme_tranquilo.txt	Alfonsina Storni	Duerme tranquilo
El_hijo_Storni.txt	Alfonsina Storni	El hijo (Storni)
El_hombre_Storni.txt	Alfonsina Storni	El hombre (Storni)
El_sueño_2_Storni.txt	Alfonsina Storni	El sueño 2 (Storni)
Encuentro_Storni.txt	Alfonsina Storni	Encuentro (Storni)
Fiesta.txt	Alfonsina Storni	Fiesta
Humildad_Storni.txt	Alfonsina Storni	Humildad (Storni)
La_vía_lactea.txt	Alfonsina Storni	La vía lactea
Noche_divina.txt	Alfonsina Storni	Noche divina
Olvido.txt	Alfonsina Storni	Olvido
Palabras_a_mi_madre.txt	Alfonsina Storni	Palabras a mi madre
Pasión_Storni.txt	Alfonsina Storni	Pasión (Storni)
Pudiera_ser.txt	Alfonsina Storni	Pudiera ser
Ruego_a_Prometeo.txt	Alfonsina Storni	Ruego a Prometeo
Soy.txt	Alfonsina Storni	Soy
Sugestión_de_una_cuna_vacía.txt	Alfonsina Storni	Sugestión de una cuna vacía
Una_mirada.txt	ErrorAutora	Una mirada
Vida.txt	Alfonsina Storni	Vida
Voy_a_dormir.txt	Alfonsina Storni	Voy a dormir
